image_urls,chip_info
['http://themogh.org/cg_pix/nv/181555.jpg'],CG181555 Obsolete Denom: 10¢ Issued: 1965 Added: 2017-07-03 Color: Beige Inserts: 2 Green Mold: SqInCr Inlay: HS Gold Catalog#: N7589 Contributed by: Sherry and Johnny Mac Show
['http://themogh.org/cg_pix/nv/151943.jpg'],CG151943 Obsolete Denom: 25¢ Issued: 1965 Added: 2015-10-23 Last Update: 2017-05-22 Color: Red Inserts: 2 Green Mold: SqInCr Inlay: HS Gold Catalog#: N7588 Contributed by: Sherry and Johnny Mac Updated by: Steve Clark Show
['http://themogh.org/cg_pix/nv/41345.jpg'],CG041345 Obsolete Denom: 50¢ Issued: 1965 Added: 2011-08-15 Last Update: 2012-04-28 Color: NAVY Inserts: 2 Green Mold: SqInCr Inlay: HS-GOLD Catalog#: N4963 Contributed by: Terry Shaffer Show
['http://themogh.org/cg_pix/nv/181556.jpg'],CG181556 Obsolete Denom: $1 Issued: 1965 Added: 2017-07-03 Color: Black Inserts: 2 Green Mold: SqInCr Inlay: HS Gold Catalog#: NotInTCR Contributed by: Sherry and Johnny Mac Show
['http://themogh.org/cg_pix/nv/19996.jpg'],CG019996 Obsolete Denom: $1 Issued: 1965 Last Update: 2016-10-13 Color: Mustard Inserts: 2-Green Mold: SqInCr Inlay: HS-GOLD Catalog#: N7578 Contributed by: Greg Susong Show
['http://themogh.org/cg_pix/nv/123423.jpg'],CG123423 Obsolete Denom: $1 Issued: 1965 Added: 2014-03-03 Last Update: 2016-10-13 Color: Beige Inserts: 2-Green Mold: SqInCr Inlay: HS-GOLD Catalog#: D2012 Contributed by: Gene Lonstein Show
['http://themogh.org/cg_pix/nv/123424.jpg'],CG123424 Obsolete Denom: $1 Issued: 1965 Added: 2014-03-03 Last Update: 2016-10-13 Color: Red Inserts: 2-Green Mold: SqInCr Inlay: HS-GOLD Catalog#: D2013 Contributed by: Gene Lonstein Show
['http://themogh.org/cg_pix/nv/154984.jpg'],CG154984 Obsolete Denom: $5 Issued: 1960s Added: 2016-01-01 Last Update: 2019-12-28 Color: Fuchsia Inserts: 2 Green Mold: SqInCr Inlay: HS Gold Catalog#: N7577 Contributed by: Sherry and Johnny Mac Show
['http://themogh.org/cg_pix/nv/41346.jpg'],CG041346 Obsolete Denom: $25 Issued: 1965 Added: 2011-08-15 Last Update: 2012-04-09 Color: BLACK Inserts: 2 Green Mold: SqInCr Inlay: HS-GOLD Catalog#: N7576 Show
[],
